date,team_1,team_2,venue,toss_winner,toss_decision,winner,target,bat_first_won,team1_last6_wins,team2_last6_wins,team1_h2h_last10,team2_h2h_last10,venue_bat_first_win_rate,team1_elo,team2_elo
2005-02-17,New Zealand,Australia,Eden Park,Australia,bat,Australia,0,1,0,0,0,0,0.5,1000.0,1000.0
2005-06-13,England,Australia,The Rose Bowl,England,bat,England,1,1,0,1,0,0,0.5,1000.0,1020.0
2005-10-21,South Africa,New Zealand,New Wanderers Stadium,New Zealand,field,New Zealand,0,0,0,0,0,0,0.5,1000.0,980.0
2006-01-09,Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,Australia,1,1,1,0,0,0,0.5,998.8499774443093,978.8499774443093
2006-02-24,South Africa,Australia,New Wanderers Stadium,South Africa,bat,South Africa,1,1,0,2,0,1,0.5,960.0,1017.6999548886185
2006-06-15,England,Sri Lanka,The Rose Bowl,Sri Lanka,bat,Sri Lanka,0,1,1,0,0,0,0.5,1021.1500225556907,1000.0
2006-08-28,England,Pakistan,County Ground,England,bat,Pakistan,0,0,1,0,0,0,0.5,999.934031061379,1000.0
2006-12-01,South Africa,India,New Wanderers Stadium,South Africa,bat,India,0,0,1,0,0,0,0.5,983.2912735517075,1000.0
2006-12-22,New Zealand,Sri Lanka,Westpac Stadium,New Zealand,bat,Sri Lanka,0,0,1,1,0,0,0.5,1001.1500225556907,1021.2159914943118
2006-12-26,New Zealand,Sri Lanka,Eden Park,New Zealand,field,New Zealand,1,0,1,2,0,1,0.5,982.3038299914775,1040.062184058525
2007-01-09,Australia,England,Sydney Cricket Ground,Australia,bat,Australia,1,1,2,1,0,1,0.5,994.4086813369111,979.9378285387
2007-06-28,England,West Indies,Kennington Oval,West Indies,bat,West Indies,0,1,1,0,0,0,0.5,960.7703564304568,1000.0
2007-06-29,England,West Indies,Kennington Oval,West Indies,bat,England,1,0,1,1,0,1,0.5,943.0190480769493,1017.7513083535075
2007-09-01,Kenya,Bangladesh,Gymkhana Club Ground,Bangladesh,field,Bangladesh,0,0,0,0,0,0,0.5,1000.0,1000.0
2007-09-02,Bangladesh,Pakistan,Gymkhana Club Ground,Bangladesh,field,Pakistan,0,1,1,1,0,0,0.5,1020.0,1019.9962025226789
2007-09-04,Kenya,Pakistan,Gymkhana Club Ground,Kenya,bat,Pakistan,0,0,0,2,0,0,0.5,980.0,1039.9964211230456
2007-09-11,South Africa,West Indies,New Wanderers Stadium,South Africa,field,South Africa,1,0,1,1,0,0,0.5,964.2523643400302,993.5145136886849
2007-09-12,Kenya,New Zealand,Kingsmead,New Zealand,field,New Zealand,0,0,0,2,0,0,0.5,963.4197471537507,1005.5983741400158
2007-09-12,Pakistan,Scotland,Kingsmead,Scotland,field,Pakistan,1,1,3,0,0,0,0.5,1056.576673969295,1000.0
2007-09-12,Australia,Zimbabwe,Newlands,Australia,bat,Zimbabwe,0,0,3,0,0,0,0.5,1013.5761534451543,1000.0
2007-09-13,Bangladesh,West Indies,New Wanderers Stadium,Bangladesh,field,Bangladesh,1,0,1,1,0,0,0.5,999.9997813996332,971.8340206446362
2007-09-13,England,Zimbabwe,Newlands,England,bat,England,1,1,2,1,0,0,0.5,967.2558427417719,1020.7811087009775
2007-09-14,Australia,England,Newlands,England,bat,Australia,1,0,3,2,1,1,0.5,992.7950447441768,990.31285794744
2007-09-14,Kenya,Sri Lanka,New Wanderers Stadium,Kenya,field,Sri Lanka,0,1,0,2,0,0,0.2,945.8358861199213,1016.7676399099867
2007-09-15,New Zealand,Sri Lanka,New Wanderers Stadium,New Zealand,bat,Sri Lanka,0,0,3,3,1,1,0.3333333333333333,1023.1822351738452,1032.7402791930672
2007-09-15,South Africa,Bangladesh,Newlands,South Africa,field,South Africa,1,0,2,2,0,0,0.5,985.9328573840789,1018.38197238101
2007-09-16,India,New Zealand,New Wanderers Stadium,India,field,New Zealand,0,1,1,3,0,0,0.2857142857142857,1019.0389092116773,1003.7323016566667
2007-09-16,Australia,Bangladesh,Newlands,Australia,field,Australia,1,0,3,2,0,0,0.5,1012.6521610172463,996.5194634685027
2007-09-16,South Africa,England,Newlands,England,field,South Africa,1,1,3,2,0,0,0.5,1007.7953662965862,970.4557416743705
2007-09-17,Pakistan,Sri Lanka,New Wanderers Stadium,Sri Lanka,field,Pakistan,1,1,4,4,0,0,0.375,1073.3483438300518,1052.1902127102458
2007-09-18,England,New Zealand,Kingsmead,England,field,New Zealand,0,1,2,4,0,0,0.5,952.5969457784882,1024.6128511956285
2007-09-18,Australia,Pakistan,New Wanderers Stadium,Pakistan,field,Pakistan,0,0,4,5,0,0,0.4444444444444444,1031.7241551516825,1092.131887295372
2007-09-18,Bangladesh,Sri Lanka,New Wanderers Stadium,Bangladesh,field,Sri Lanka,0,1,2,4,0,0,0.4444444444444444,977.4474693340666,1033.4066692449255
2007-09-19,England,India,Kingsmead,India,bat,India,0,1,2,1,0,0,0.5,936.6841468653049,998.1583596727154
2007-09-19,South Africa,New Zealand,Kingsmead,South Africa,field,South Africa,1,0,4,4,0,1,0.5,1025.6541621924684,1040.5256501088118
2007-09-20,Australia,Sri Lanka,Newlands,Australia,field,Australia,1,0,3,4,0,0,0.3333333333333333,1015.1668823728353,1050.2129675408205
2007-09-20,Bangladesh,Pakistan,Newlands,Pakistan,field,Pakistan,0,0,2,6,0,1,0.3333333333333333,960.6411710381715,1108.6891600742192
